Piloto,Seguidores,Tweets,Likes,Rts,Fecha
Max33Verstappen,3282623,2279,1815339,124703,2023-04-05 12:57:30.392710
Carlossainz55,2081822,8740,421073,19732,2023-04-05 12:57:31.727708
OconEsteban,831540,2482,297878,10371,2023-04-05 12:57:33.154679
lance_stroll,393411,602,336433,11376,2023-04-05 12:57:35.086918
PierreGASLY,1371522,2758,1898288,97623,2023-04-05 12:57:36.512149
Charles_Leclerc,2538120,2152,3815031,223619,2023-04-05 12:57:38.082396
LandoNorris,2314512,6802,725908,23352,2023-04-05 12:57:40.130925
GeorgeRussell63,1879242,3149,1437622,54078,2023-04-05 12:57:41.947473
alex_albon,786215,494,721166,31610,2023-04-05 12:57:43.541608
yukitsunoda07,487884,763,539635,39874,2023-04-05 12:57:45.157396
ZhouGuanyu24,373672,1121,470442,17280,2023-04-05 12:57:47.032330
SChecoPerez,3651107,4734,1745574,111413,2023-04-05 12:57:48.999822
OscarPiastri,305812,1433,263701,9622,2023-04-05 12:57:50.463426
HulkHulkenberg,1185743,1444,456488,17289,2023-04-05 12:57:51.915345
nyckdevries,92766,2957,37542,1365,2023-04-05 12:57:53.829443
LoganSargeant,54281,724,100088,3341,2023-04-05 12:57:56.017198
LewisHamilton,8033205,1465,3985263,289304,2023-04-06 13:28:59.880959
alo_oficial,3512409,9058,1621605,137712,2023-04-06 13:29:02.855763
ValtteriBottas,1596320,6058,275371,13402,2023-04-06 13:29:05.072115
KevinMagnussen,868205,1359,220392,9611,2023-04-06 13:29:06.900428
Max33Verstappen,3283334,2279,1815106,124694,2023-04-06 13:29:08.349551
Carlossainz55,2083033,8741,410313,19575,2023-04-06 13:29:09.775904
OconEsteban,831903,2482,297854,10366,2023-04-06 13:29:11.272955
lance_stroll,393809,602,336382,11375,2023-04-06 13:29:13.140957
PierreGASLY,1372051,2758,1898084,97616,2023-04-06 13:29:14.533957
Charles_Leclerc,2540816,2152,3815336,223621,2023-04-06 13:29:15.983105
LandoNorris,2315308,6803,726222,23357,2023-04-06 13:29:17.834985
GeorgeRussell63,1880259,3149,1437564,54077,2023-04-06 13:29:19.730924
alex_albon,786578,494,721097,31609,2023-04-06 13:29:21.139624
yukitsunoda07,488231,763,539639,39863,2023-04-06 13:29:22.619679
ZhouGuanyu24,373912,1121,470492,17285,2023-04-06 13:29:24.454105
SChecoPerez,3651937,4734,1745841,111409,2023-04-06 13:29:26.246751
OscarPiastri,306280,1434,271957,10079,2023-04-06 13:29:27.699944
HulkHulkenberg,1185885,1444,456415,17286,2023-04-06 13:29:29.158365
nyckdevries,92818,2957,37534,1365,2023-04-06 13:29:31.090240
LoganSargeant,54405,724,100077,3340,2023-04-06 13:29:33.202975
LewisHamilton,8034166,1467,3983743,289224,2023-04-10 10:01:20.208279
alo_oficial,3515925,9059,1630623,138029,2023-04-10 10:01:24.634529
ValtteriBottas,1597603,6058,275961,13412,2023-04-10 10:01:27.892431
KevinMagnussen,868658,1359,220256,9608,2023-04-10 10:01:33.559731
Max33Verstappen,3285065,2279,1814317,124631,2023-04-10 10:01:36.739237
Carlossainz55,2086523,8738,418720,19965,2023-04-10 10:01:38.476724
OconEsteban,832952,2482,273889,9832,2023-04-10 10:01:42.885808
lance_stroll,395034,602,336330,11375,2023-04-10 10:01:45.440045
PierreGASLY,1373860,2754,1897423,97589,2023-04-10 10:01:47.185173
Charles_Leclerc,2546307,2154,3535351,209512,2023-04-10 10:01:48.817050
LandoNorris,2317134,6803,726773,23359,2023-04-10 10:01:50.868401
GeorgeRussell63,1883211,3149,1437328,54071,2023-04-10 10:01:53.017196
alex_albon,787572,494,720739,31598,2023-04-10 10:01:54.579578
yukitsunoda07,489152,763,539586,39877,2023-04-10 10:01:56.395409
ZhouGuanyu24,374782,1122,476072,17454,2023-04-10 10:01:58.332640
SChecoPerez,3655399,4734,1745733,111411,2023-04-10 10:02:00.122626
OscarPiastri,307532,1435,280731,10273,2023-04-10 10:02:01.641628
HulkHulkenberg,1186139,1444,456193,17280,2023-04-10 10:02:03.178627
nyckdevries,92911,2957,37530,1366,2023-04-10 10:02:05.055621
LoganSargeant,54644,725,100017,3339,2023-04-10 10:02:07.280605
LewisHamilton,8034619,1467,3983116,289176,2023-04-11 12:48:17.076090
alo_oficial,3516921,9059,1631520,138058,2023-04-11 12:48:19.763091
ValtteriBottas,1598091,6059,278251,13468,2023-04-11 12:48:21.909090
KevinMagnussen,868765,1359,220198,9608,2023-04-11 12:48:23.613090
Max33Verstappen,3285617,2280,1814171,124633,2023-04-11 12:48:25.708091
Carlossainz55,2087518,8739,418374,19876,2023-04-11 12:48:27.166091
OconEsteban,833261,2482,273922,9832,2023-04-11 12:48:28.559089
lance_stroll,395352,602,336261,11375,2023-04-11 12:48:30.475091
PierreGASLY,1374374,2754,1897188,97578,2023-04-11 12:48:32.170057
Charles_Leclerc,2547645,2154,3535282,209519,2023-04-11 12:48:33.540056
LandoNorris,2317569,6803,726779,23364,2023-04-11 12:48:35.268057
GeorgeRussell63,1884047,3149,1437056,54074,2023-04-11 12:48:37.167211
alex_albon,787899,494,720644,31599,2023-04-11 12:48:38.598210
yukitsunoda07,489346,763,539451,39856,2023-04-11 12:48:39.969473
ZhouGuanyu24,375037,1122,476918,17470,2023-04-11 12:48:42.478887
SChecoPerez,3656133,4734,1745737,111413,2023-04-11 12:48:44.165790
OscarPiastri,307806,1435,280771,10272,2023-04-11 12:48:45.635485
HulkHulkenberg,1186235,1444,456098,17283,2023-04-11 12:48:47.179327
nyckdevries,92961,2957,37517,1362,2023-04-11 12:48:49.199043
LoganSargeant,54683,725,99987,3340,2023-04-11 12:48:51.360424
LewisHamilton,8038656,1472,4005793,289110,2023-04-19 11:46:33.852428
alo_oficial,3525994,9065,1766928,146202,2023-04-19 11:46:36.529059
ValtteriBottas,1601065,6061,279389,13625,2023-04-19 11:46:38.612178
KevinMagnussen,869399,1359,219981,9581,2023-04-19 11:46:40.394861
Max33Verstappen,3289758,2279,1812173,124432,2023-04-19 11:46:41.849761
Carlossainz55,2094472,8743,441141,21719,2023-04-19 11:46:43.141762
OconEsteban,835781,2486,270732,9757,2023-04-19 11:46:44.462281
lance_stroll,397813,602,335933,11324,2023-04-19 11:46:46.086962
PierreGASLY,1378394,2754,1895865,97407,2023-04-19 11:46:47.460885
Charles_Leclerc,2556693,2154,3534965,209096,2023-04-19 11:46:48.831858
LandoNorris,2321481,6807,724576,23356,2023-04-19 11:46:50.520885
GeorgeRussell63,1890305,3152,1366130,51977,2023-04-19 11:46:52.180815
alex_albon,789916,494,720009,31486,2023-04-19 11:46:53.488800
yukitsunoda07,491425,764,541954,40316,2023-04-19 11:46:54.844778
ZhouGuanyu24,376767,1123,483500,17715,2023-04-19 11:46:56.438416
SChecoPerez,3660946,4735,1746105,111399,2023-04-19 11:46:58.102449
OscarPiastri,309773,1438,277216,10171,2023-04-19 11:46:59.461574
HulkHulkenberg,1187206,1444,455646,17298,2023-04-19 11:47:00.911813
nyckdevries,93346,2957,37494,1359,2023-04-19 11:47:02.632519
LoganSargeant,55275,729,102116,3427,2023-04-19 11:47:04.508862
LewisHamilton,8038729,1472,4004480,289061,2023-04-20 18:44:06.136006
alo_oficial,3526485,9066,1767335,146211,2023-04-20 18:44:10.452664
ValtteriBottas,1601314,6061,279325,13621,2023-04-20 18:44:13.561059
KevinMagnussen,869428,1359,219967,9580,2023-04-20 18:44:16.576987
Max33Verstappen,3290146,2279,1811515,124425,2023-04-20 18:44:18.692140
Carlossainz55,2095235,8743,446539,21941,2023-04-20 18:44:20.322893
OconEsteban,835982,2486,270695,9756,2023-04-20 18:44:22.280079
lance_stroll,398056,602,335878,11325,2023-04-20 18:44:25.440481
PierreGASLY,1378736,2754,1895247,97402,2023-04-20 18:44:27.054409
Charles_Leclerc,2557837,2154,3533931,209089,2023-04-20 18:44:28.502469
LandoNorris,2321800,6807,724609,23358,2023-04-20 18:44:30.529417
GeorgeRussell63,1890939,3152,1367337,52005,2023-04-20 18:44:32.885380
alex_albon,790110,495,549513,23123,2023-04-20 18:44:34.661950
yukitsunoda07,491662,764,541932,40318,2023-04-20 18:44:36.705510
ZhouGuanyu24,376992,1124,478294,17387,2023-04-20 18:44:39.065065
