resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25569,1103,846,1,4,\N,0,'0',\N,2,77,\N,\N,77,9,2,,1
25570,1103,857,1,81,\N,0,'0',\N,1,77,\N,\N,77,10,1,,1
25571,1103,822,51,77,\N,0,'0',\N,0,77,\N,\N,77,11,0,,1
25572,1103,859,213,21,\N,0,'0',\N,0,77,\N,\N,77,12,0,,1
25573,1103,855,51,24,\N,0,'0',\N,0,77,\N,\N,77,13,0,,1
25574,1103,848,3,23,\N,0,'0',\N,0,77,\N,\N,77,14,0,,1
25575,1103,852,213,22,\N,0,'0',\N,0,76,\N,\N,76,15,0,,1
25576,1103,856,9,11,\N,0,'0',\N,0,76,\N,\N,76,16,0,,1
25577,1103,858,210,27,\N,0,'0',\N,0,76,\N,\N,76,17,0,,1
25578,1103,860,3,2,\N,0,'0',\N,0,76,\N,\N,76,18,0,,1
25579,1103,825,210,20,\N,0,'0',\N,0,70,\N,\N,70,19,0,,3
25580,1103,840,117,18,\N,0,'0',\N,0,53,\N,\N,53,NC,0,,3
